level,sample_id,scenario_type,outcome,rank_movement,baseline_rank,perturbed_rank,baseline_hit_turn,perturbed_hit_turn
2,public_0024,buying,improved,improved,8,1,1,3
2,public_0025,browsing,unchanged,unchanged,1,1,2,2
2,public_0026,buying,worsened,disappeared,3,,2,
2,public_0027,buying,worsened,worsened,1,5,2,2
2,public_0028,buying,worsened,disappeared,3,,3,
2,public_0029,buying,unchanged,unchanged,1,1,2,2
2,public_0030,buying,worsened,disappeared,1,,2,
2,public_0031,buying,worsened,worsened,2,3,2,2
2,public_0032,buying,worsened,disappeared,5,,2,
2,public_0033,browsing,improved,improved,7,2,2,3
2,public_0034,intent_override,worsened,disappeared,1,,4,
2,public_0035,boundary,worsened,disappeared,7,,3,
2,public_0036,browsing,improved,improved,5,1,2,3
2,public_0037,browsing,worsened,disappeared,7,,2,
2,public_0038,intent_override,worsened,disappeared,1,,4,
2,public_0039,browsing,worsened,disappeared,1,,2,
2,public_0040,browsing,worsened,disappeared,2,,3,
2,public_0041,boundary,unchanged,unchanged,1,1,3,3
2,public_0042,buying,unchanged,unchanged,1,1,2,2
2,public_0043,browsing,worsened,worsened,2,3,2,2
2,public_0044,buying,improved,improved,5,1,1,1
2,public_0045,buying,worsened,disappeared,1,,2,
2,public_0046,intent_override,worsened,disappeared,1,,4,
2,public_0047,browsing,worsened,disappeared,1,,2,
2,public_0048,browsing,improved,improved,4,1,2,3
2,public_0049,browsing,improved,improved,5,1,6,3
2,public_0050,boundary,improved,improved,6,1,3,4
2,public_0051,browsing,unchanged,unchanged,1,1,2,2
2,public_0052,intent_override,worsened,disappeared,7,,3,
2,public_0053,buying,improved,improved,9,6,1,1
2,public_0054,buying,worsened,disappeared,4,,1,
2,public_0055,browsing,worsened,worsened,1,10,2,2
2,public_0056,browsing,unchanged,unchanged,1,1,2,2
2,public_0057,browsing,worsened,worsened,8,9,2,1
2,public_0058,buying,worsened,disappeared,9,,2,
2,public_0059,browsing,worsened,worsened,1,3,2,1
2,public_0060,browsing,worsened,disappeared,1,,2,
2,public_0061,buying,worsened,worsened,1,9,1,1
2,public_0062,browsing,worsened,worsened,2,4,2,3
2,public_0063,browsing,unchanged,unchanged,1,1,2,2
2,public_0064,intent_override,worsened,disappeared,1,,4,
2,public_0065,buying,worsened,disappeared,1,,3,
2,public_0066,buying,worsened,disappeared,1,,2,
2,public_0067,buying,unchanged,unchanged,10,10,1,1
2,public_0068,intent_override,unchanged,unchanged,1,1,4,4
2,public_0069,browsing,unchanged,unchanged,1,1,2,2
2,public_0070,browsing,improved,unchanged,1,1,2,1
2,public_0071,intent_override,worsened,disappeared,1,,4,
2,public_0072,intent_override,worsened,disappeared,1,,3,
2,public_0073,browsing,worsened,worsened,1,4,2,2
2,public_0074,browsing,worsened,disappeared,1,,3,
2,public_0075,browsing,unchanged,unchanged,1,1,3,3
2,public_0076,browsing,worsened,disappeared,1,,3,
2,public_0077,browsing,improved,improved,3,2,1,2
2,public_0078,intent_override,worsened,disappeared,1,,3,
2,public_0079,browsing,improved,improved,2,1,2,3
2,public_0080,intent_override,worsened,disappeared,1,,4,
2,public_0081,browsing,worsened,worsened,5,10,1,1
2,public_0082,buying,unchanged,unchanged,1,1,1,1
2,public_0083,buying,worsened,disappeared,6,,4,
2,public_0084,intent_override,worsened,disappeared,1,,4,
2,public_0085,browsing,worsened,worsened,1,5,2,2
2,public_0086,browsing,unchanged,unchanged,1,1,2,2
2,public_0087,browsing,worsened,disappeared,6,,4,
2,public_0088,buying,worsened,worsened,1,10,2,1
2,public_0089,intent_override,worsened,disappeared,1,,3,
2,public_0090,buying,unchanged,unchanged,1,1,1,1
2,public_0091,browsing,unchanged,unchanged,1,1,2,2
2,public_0092,browsing,worsened,disappeared,10,,2,
2,public_0093,buying,worsened,worsened,1,6,2,2
2,public_0094,buying,improved,improved,10,1,2,3
2,public_0095,buying,worsened,disappeared,1,,2,
2,public_0096,intent_override,worsened,disappeared,3,,3,
2,public_0097,buying,worsened,disappeared,2,,2,
2,public_0098,browsing,worsened,disappeared,1,,2,
2,public_0099,browsing,worsened,disappeared,2,,2,
2,public_0100,browsing,worsened,disappeared,4,,2,
